Experiment,T,t (min),mu0,mu1,mu2,mu3,C
3,30.32,39,358099.410,4351129.080,136986402.260,7462640874.210,0.135245
3,30.24,40.26667,357654.630,4715591.290,127309523.530,7635431952.680,0.132657
3,30.17,41.53333,373146.650,4630837.340,137029594.270,8015011170.960,0.134178
4,39.99,5,1450.080,21867.070,1618205.530,227628858.600,0.158872
4,38.98,6.25,2368.520,35507.650,1820978.060,254762839.350,0.157973
4,38.11,7.516667,3136.720,51348.540,2388029.540,301900705.750,0.157820
4,37.38,8.766667,5121.750,67809.980,3341726.130,360218188.940,0.158395
4,36.75,10.03333,6843.180,110132.250,4773377.190,481503777.890,0.159648
4,36.23,11.28333,9557.200,165553.000,7002611.650,588121106.490,0.156010
4,35.78,12.55,12250.460,270731.020,10380299.240,797850639.350,0.155301
4,35.41,13.8,18363.110,352518.140,14466389.100,1144566359.500,0.155098
4,35.09,15.06667,28923.630,470060.890,23014487.950,1438865559.810,0.153782
4,34.82,16.31667,36985.810,708134.760,26495553.030,1891293719.160,0.154500
4,34.59,17.58333,50849.150,881285.270,37303035.890,2652949240.190,0.151943
4,34.4,18.83333,60432.010,1223360.710,44162411.500,3066172654.820,0.148643
4,34.23,20.1,85545.190,1411233.950,54563424.260,3496791496.050,0.149135
4,34.09,21.35,99476.810,1646487.160,59868459.240,3848006554.090,0.146115
4,33.98,22.61667,118168.240,1681146.030,69378387.780,4459884621.460,0.144029
4,33.88,23.88333,143746.770,2068531.350,78478461.080,4688005006.070,0.144312
4,33.79,25.13333,154096.780,2245853.090,74172994.670,5226413528.760,0.144054
4,33.72,26.4,180071.680,2405697.310,88511559.450,5080282948.070,0.141093
4,33.66,27.65,216462.180,2290779.200,85338395.410,5416008108.830,0.141114
4,33.61,28.91667,223404.950,2670209.910,95863156.280,5732274366.500,0.141929
4,33.57,30.18333,250605.380,2641624.370,98794591.100,5882987127.070,0.139322
4,33.15,31.43333,254772.290,3035643.460,93829463.310,5726801750.140,0.140237
4,32.39,32.7,259229.840,3338448.280,97189299.330,6211260018.730,0.138235
4,31.96,33.96667,277208.210,3209742.700,101213740.150,6427450562.830,0.138902
4,31.6,35.21667,265654.710,3386585.920,105248673.200,6640606218.780,0.137496
4,31.31,36.48333,344536.400,3562849.530,122888248.980,6848143549.100,0.135431
4,31.08,37.73333,363732.410,3730881.900,112998393.700,7393939538.920,0.137512
4,30.88,39,330457.440,3891990.790,126289363.180,7043224086.520,0.135543
4,30.72,40.26667,346245.310,4043167.360,119899900.050,7206546803.190,0.135659
4,30.59,41.53333,342389.410,4183056.200,128071730.280,7354979213.510,0.133806
4,30.48,42.78333,395406.820,4307051.040,130860340.390,8059855817.530,0.134706
4,29.96,44.05,431870.930,4448703.780,134019177.400,7824907311.330,0.132872
4,29.27,45.31667,428809.170,5090996.090,149043008.900,7810656670.250,0.132255
4,28.32,46.58333,448612.850,5357676.330,149129287.010,8259763713.390,0.132751
4,27.81,47.83333,492844.750,4886042.000,149533301.320,8325822662.420,0.130496
4,27.38,49.1,490224.410,4873276.130,161920940.170,8816530871.640,0.130220
4,27.02,50.36667,510597.360,5957630.380,168065544.240,8852754260.470,0.128692
4,26.71,51.63333,556848.040,5620686.590,160463857.560,9091648919.900,0.128518
