Experiment,T,t (min),mu0,mu1,mu2,mu3,C
3,24.99,15.06667,929.66,267762.42,80394168.58,21455538326.99,0.119338
3,25.01,16.31667,929.66,267414.64,79965980.28,21484675299.11,0.11932
3,25,17.58333,929.66,267577.07,79714912.81,21520947826.35,0.118859
3,25.01,18.83333,929.66,267444.82,79479395.74,21332600372.05,0.11951
3,25.01,20.1,929.66,266849.65,80051824.87,21534197929.28,0.119668
3,24.99,21.35,929.66,267073.36,79836529.24,21355321786.04,0.11993
3,25,22.61667,929.66,267308.69,79787534.49,21333443552.27,0.119824
3,25,23.88333,929.66,266754.04,79267336.98,21160925255.61,0.119587
3,24.98,25.13333,929.66,267010.10,79389697.65,21297893958.33,0.119642
3,25,26.4,929.66,266792.57,79515812.62,21283147101.49,0.120231
3,24.99,27.65,929.66,266422.21,79645915.96,21270241208.31,0.119434
3,25.01,28.91667,929.66,266536.87,79301945.13,21258586839.00,0.119713
3,25.01,30.18333,929.66,266656.26,79278665.60,21324656100.62,0.120288
3,24.99,31.43333,929.66,266780.19,79575682.78,21238917175.63,0.120318
3,25.01,32.7,929.66,266427.30,79556725.57,21306894203.92,0.120647
3,25,33.96667,929.66,266397.49,79380809.46,21222816517.28,0.120132
3,24.98,35.21667,929.66,266690.59,79365460.66,21215960527.67,0.119854
3,25,36.48333,929.66,266665.87,79351286.77,21209629909.56,0.120716
3,25,37.73333,929.66,266643.58,79655857.55,21127586766.56,0.120435
3,24.98,39,929.66,266303.12,79643939.16,21198619699.34,0.120212
3,25.01,40.26667,929.66,266443.99,79315732.40,21193752324.22,0.120228
3,25.01,41.53333,929.66,266746.21,79147087.67,21189272336.11,0.120484
3,24.99,42.78333,929.66,266250.72,79296559.58,21032658318.63,0.120558
3,25.01,44.05,929.66,266395.63,79446568.40,21028860961.65,0.12027
3,25,45.31667,929.66,266221.96,79280055.12,21101583125.73,0.120281
3,25,46.58333,929.66,266209.12,79431232.44,21250762384.33,0.120533
3,25.01,47.83333,929.66,266676.77,79424453.50,21171513999.47,0.120302
3,25.02,49.1,929.66,266505.81,79101012.48,21092454396.44,0.120372
3,25,50.36667,929.66,266335.60,79253568.21,21013604561.98,0.120561
3,24.99,51.63333,929.66,266325.88,79247994.20,21087323172.99,0.12057
3,25.01,52.9,929.66,266156.99,79242776.15,21161182824.44,0.120096
3,25,54.16667,929.66,266148.46,79396359.92,21006654634.19,0.120585
3,25.02,55.43333,929.66,266140.45,79233291.41,21004619622.80,0.120652
3,25,56.68333,929.66,266292.80,79545945.09,21155047353.15,0.120056
3,25.01,57.95,929.66,266605.25,79224961.67,21305535458.53,0.120303
3,24.98,59.23333,929.66,266278.93,79537963.86,21151499694.91,0.120369
3,25,60.51667,929.66,266112.78,79217419.28,21073726739.53,0.119833
3,25.01,61.78333,929.66,266266.60,79214007.81,21148343882.24,0.12062
3,24.99,63.06667,929.66,266580.41,78893897.41,21070757017.10,0.120685
3,25,64.36667,929.66,266095.68,79207610.30,21221612818.74,0.120389
3,24.99,65.65,929.66,266410.08,79204685.17,21296421908.05,0.120333
4,45,5,909.46,272741.97,84471318.80,23102370200.00,0.148198
4,45,6.25,909.46,270230.00,83136946.16,22398861689.98,0.150263
4,45.01,7.516667,909.46,268493.66,82598220.00,21997491820.91,0.151598
4,45.01,8.766667,909.46,267767.50,81846107.07,21727780072.03,0.152495
4,44.99,10.03333,909.46,266775.49,81419572.45,21454946042.45,0.153605
4,45.01,11.28333,909.46,266776.35,81269115.41,21389598043.78,0.153621
4,44.99,12.55,909.46,266362.46,80541173.63,21202478090.78,0.153988
4,45,13.8,909.46,265776.56,80516157.52,21117536146.43,0.154735
